abstract,name,id,version,title,beginDate,endDate,author,attributeName,attribute
Os dados de coordenadas geogrÃ¡ficas aqui disponibilizados sÃ£o parte das informaÃ§Ãµes disponÃ­veis para as 10 parcelas terrestres instaladas na Floresta Naiconal de TefÃ©.,david,3,2,Coordenadas de 10 parcelas terrestres de distribuiÃ§Ã£o uniforme na Floresta Nacional TefÃ©,2013-04-30T04:00:00Z,2013-05-08T04:00:00Z,Rosiely Silva CabÃºs,"sitio,parcela,segmento,comprimento_segmento,azimute,inclinacao","sitio  Sitio de pesquisa onde foi realizado a coleta.,parcela  Locais onde foi instalado a parcela.,segmento  Intervalo em metros que compreendem um segmento entre piquetes meter,comprimento_segmento  Comprimento do intervalo entre os piquetes meter,azimute  Azimute do piquete atual degree,inclinacao  InclinaÃ§Ã£o entre os piquetes do segmento degree"
"The visual and acoustic active searches were conducted in 40 sampling units distributed along the riparian drainage system Ducke Reserve, Manaus, Amazonas, between January and March 2013, during the rainy season, in order to detect and estimate the number of individuals of each species in riparian environments selected. Three sampling campaigns were carried out. At each sampling unit two searches in the morning between 06:00 and 09:00 am and in one in the afternoon, between 16:20 and 17:20 were performed, alternating the hours of searching between the sampling units and between campaigns. The sampling units follow the method RAPELD plots in riparian environments. Searches were conducted by a researcher and the records were tabulated separately according to the method.",dias,32,3,Survey of Allobates sumtuosus and Atelopus spumarius at riparian environments in an area of ââdry land in central Amazonia,2013-01-10T04:00:00Z,2013-01-25T04:00:00Z,Rafael Filgueira Jorge,"campanha,sitio,bacia,micro_bacia,parcela_riparia,trilha,segmento,data,especie,hora_inic,hora_final,duracao,indi_voc,indi_avis,indi_voc_dep_faix,indi_voc_out_marg,tem_ar_ini,tem_ar_fin,umi_ar_ini,umi_ar_fin","campanha  campanha um, dois ou trÃªs quando o levantamento foi realizado em datas especÃ­ficas,sitio  nome da reserva ambiental onde foi realizado o levantamento,bacia  bacia de drenagem onde estÃ£o localizadas as parcelas ripÃ¡rias onde foi realizado os levantamentos,micro_bacia  microbacia de drenagem onde estÃ£o localizadas as parcelas ripÃ¡rias onde foram realizados os levantamentos,parcela_riparia  identificaÃ§Ã£o da parcela ripÃ¡ria onde foram realizados os levantamentos,trilha  localizaÃ§Ã£o em metros (vÃ£o de 0 a 8000m) na trilha principal da grade da Reserva Ducke onde o igarapÃ© da parcela ripÃ¡ria cruza a trilha principal. SÃ£o nove trilhas no sentido norte-sul e nove no sentido leste-oeste.
Ex: NS_1_125 - trilha 1 no sentido norte-sul na distÃ¢ncia de 125 metros a partir do inicio do sistema de trilhas.,segmento  segmento da parcela onde o numero de indivÃ­duos foram registrados.
Ex: 0_10 - parte do levantamento dentro da unidade amostral onde foi realizado a busca entre o inicio, 0m, e o segundo piquete, 10m, sendo este o primeiro segmento.,data  data quando cada levantamento por unidade amostral foi realizado nas trÃªs campanhas.,especie  espÃ©cie focal registrada nos levantamentos,hora_inic  horÃ¡rio do inÃ­cio do levantamento em cada unidade amostral em cada campanha (horÃ¡rio inicial),hora_final  horÃ¡rio do final do levantamento em cada unidade amostral em cada campanha,duracao  a duraÃ§Ã£o em minutos para o levantamento ser concluÃ­do em cada unidade amostral em cada campanha (duraÃ§Ã£o) minute,indi_voc  numero de indivÃ­duos registrados atravÃ©s do mÃ©todo de busca acÃºstica em cada segmento da unidade amostral (indivÃ­duos vocalizando),indi_avis  numero de indivÃ­duos registrados atravÃ©s do mÃ©todo de busca visual em cada segmento da unidade amostral (indivÃ­duos avistados),indi_voc_dep_faix  numero de indivÃ­duos vocalizando depois da largura de 10m para registros de Allobates sumtuosus ou de 4m para registros de Atelopus spumarius, antes do inicio ou depois do final da parcela, mas na mesma margem (indivÃ­duos vocalizando depois da faixa),indi_voc_out_marg  numero de indivÃ­duos vocalizando na margem oposta Ã  unidade amostral (indivÃ­duos vocalizando na outra margem),tem_ar_ini  valor da temperatura do ar em graus Celsius obtido por termohigrÃ´metro digital antes do inicio do levantamento em cada unidade amostral (temperatura do ar inicial) celsius,tem_ar_fin  valor da temperatura do ar em graus Celsius obtido por termohigrÃ´metro digital ao final do levantamento em cada unidade amostral (temperatura do ar final) celsius,umi_ar_ini  valor da umidade do ar em porcentagem obtido por termohigrÃ´metro digital antes do inicio do levantamento em cada unidade amostral (umidade do ar inicial),umi_ar_fin  valor da umidade do ar em porcentagem obtido por termohigrÃ´metro digital ao final do levantamento em cada unidade amostral (umidade do ar final)"
Os dados de coordenadas geogrÃ¡ficas aqui disponibilizados sÃ£o parte das informaÃ§Ãµes disponÃ­veis para as 10 parcelas terrestres instaladas na Floresta Naiconal de TefÃ©.,dias,35,7,Coordenadas de 10 parcelas terrestres de distribuiÃ§Ã£o uniforme na Floresta Nacional TefÃ©,2013-04-30T04:00:00Z,2013-05-08T04:00:00Z,Rosiely Silva CabÃºs,"sitio,parcela,segmento,comprimento_segmento,azimute,inclinacao","sitio  Sitio de pesquisa onde foi realizado a coleta.,parcela  Locais onde foi instalado a parcela.,segmento  Intervalo em metros que compreendem um segmento entre piquetes meter,comprimento_segmento  Comprimento do intervalo entre os piquetes meter,azimute  Azimute do piquete atual degree,inclinacao  InclinaÃ§Ã£o entre os piquetes do segmento degree"
"Os dados aqui disponibilizados são produto do trabalho realizado por Debora Drucker durante seu curso de mestrado. O objetivo central foi investigar a abundância e distribuição espacial de ervas terrestres (apenas as espécies que germinam e passam todo o seu ciclo de vida no solo, sensu Poulsen (1996)) em 20 Parcelas ripárias paralelas aos igarapés na Reserva Florestal Adolpho Ducke.
Referência:
Poulsen, A. D. 1996. Species richness and density of ground herbs within a plot of lowland rainforest in north-west Borneo. Journal of Tropical Ecology 12: 177-190.",drucker,3,9,Abundância e distribuição de ervas terrestres em parcelas ripárias na Reserva Ducke: variação lateral,2003-11-01T04:00:00Z,2004-08-31T04:00:00Z,Debora Drucker,"codigo,familia,nome,autor","codigo  Código identificador da espécie utilizado nos arquivos ervasablat.pdf/ ervasablat.csv,familia  Nome da Família,nome  Nome da Espécie,autor  Nome do Autor do Nome da Espécie"
"Este estudo foi feito para conhecer as variações em altura e estrutura do perfil vertical da floresta ao longo do gradiente topográfico e hidrológico da Reserva Ducke. Para isso, fizemos um levantamento com LIDAR portátil em 24 parcelas permanentes da Reserva. A amostragem foi feita em parcelas permanentes previamente sobrevoadas pelo sensor LIDAR (julho de 2008), o que permitirá a comparação entre os dados coletados no levantamento de chão e os dados coletado a partir do sobrevôo. ***Dados não disponíveis no momento. Por favor acesse o repositório do PELD para baixá-los: http://peld.inpa.gov.br/knb/style/skins/peld/",fecosta,143,18,LIDAR (Light Detection And Ranging) portátil para determinação da altura e estrutura do perfil vertical da floresta na Reserva Ducke.,2009-04-02T04:00:00Z,2009-04-07T04:00:00Z,Juliana Schietti,"r,a,r,a,r,a,r,a,r,a,r,a,r,a,r,a,r,a,r,a,r,a,r,a,r,a,r,a,r,a,r,a,r,a,r,a,r,a,r,a,r,a,r,a,r,a,r,a,r,a","r  “range”, indica a distância do alvo atingido em metros. Valores somados de 100 indicam o último retorno (last return), os demais indicam o primeiro retorno (first return). dimensionless,a  “amplitud”, indica a amplitude do sinal. dimensionless,r  “range”, indica a distância do alvo atingido em metros. Valores somados de 100 indicam o último retorno (last return), os demais indicam o primeiro retorno (first return). dimensionless,a  “amplitud”, indica a amplitude do sinal. dimensionless,r  “range”, indica a distância do alvo atingido em metros. Valores somados de 100 indicam o último retorno (last return), os demais indicam o primeiro retorno (first return). dimensionless,a  “amplitud”, indica a amplitude do sinal. dimensionless,r  “range”, indica a distância do alvo atingido em metros. Valores somados de 100 indicam o último retorno (last return), os demais indicam o primeiro retorno (first return). dimensionless,a  “amplitud”, indica a amplitude do sinal. dimensionless,r  “range”, indica a distância do alvo atingido em metros. Valores somados de 100 indicam o último retorno (last return), os demais indicam o primeiro retorno (first return). dimensionless,a  “amplitud”, indica a amplitude do sinal. dimensionless,r  “range”, indica a distância do alvo atingido em metros. Valores somados de 100 indicam o último retorno (last return), os demais indicam o primeiro retorno (first return). dimensionless,a  “amplitud”, indica a amplitude do sinal. dimensionless,r  “range”, indica a distância do alvo atingido em metros. Valores somados de 100 indicam o último retorno (last return), os demais indicam o primeiro retorno (first return). dimensionless,a  “amplitud”, indica a amplitude do sinal. dimensionless,r  “range”, indica a distância do alvo atingido em metros. Valores somados de 100 indicam o último retorno (last return), os demais indicam o primeiro retorno (first return).  
Nome do Atributo: a dimensionless,a  “amplitud”, indica a amplitude do sinal. dimensionless,r  “range”, indica a distância do alvo atingido em metros. Valores somados de 100 indicam o último retorno (last return), os demais indicam o primeiro retorno (first return). dimensionless,a  “amplitud”, indica a amplitude do sinal. dimensionless,r  “range”, indica a distância do alvo atingido em metros. Valores somados de 100 indicam o último retorno (last return), os demais indicam o primeiro retorno (first return). dimensionless,a  “amplitud”, indica a amplitude do sinal. dimensionless,r  “range”, indica a distância do alvo atingido em metros. Valores somados de 100 indicam o último retorno (last return), os demais indicam o primeiro retorno (first return). dimensionless,a  “amplitud”, indica a amplitude do sinal. dimensionless,r  “range”, indica a distância do alvo atingido em metros. Valores somados de 100 indicam o último retorno (last return), os demais indicam o primeiro retorno (first return). dimensionless,a  “amplitud”, indica a amplitude do sinal. dimensionless,r  “range”, indica a distância do alvo atingido em metros. Valores somados de 100 indicam o último retorno (last return), os demais indicam o primeiro retorno (first return). dimensionless,a  “amplitud”, indica a amplitude do sinal. dimensionless,r  “range”, indica a distância do alvo atingido em metros. Valores somados de 100 indicam o último retorno (last return), os demais indicam o primeiro retorno (first return). dimensionless,a  “amplitud”, indica a amplitude do sinal. dimensionless,r  “range”, indica a distância do alvo atingido em metros. Valores somados de 100 indicam o último retorno (last return), os demais indicam o primeiro retorno (first return). dimensionless,a  “amplitud”, indica a amplitude do sinal. dimensionless,r  “range”, indica a distância do alvo atingido em metros. Valores somados de 100 indicam o último retorno (last return), os demais indicam o primeiro retorno (first return).  
Nome do Atributo: a dimensionless,a  “amplitud”, indica a amplitude do sinal. dimensionless,r  Nome do arquivo: indica a trilha, parcela e trecho da linha central amostrado. Ex. “L3_500_0-10.asc” – Trilha Leste 3, parcela 500, trecho 0 a 10m. dimensionless,a  “amplitud”, indica a amplitude do sinal. dimensionless,r  “range”, indica a distância do alvo atingido em metros. Valores somados de 100 indicam o último retorno (last return), os demais indicam o primeiro retorno (first return). dimensionless,a  “amplitud”, indica a amplitude do sinal. dimensionless,r  “range”, indica a distância do alvo atingido em metros. Valores somados de 100 indicam o último retorno (last return), os demais indicam o primeiro retorno (first return). dimensionless,a  “amplitud”, indica a amplitude do sinal. dimensionless,r  “range”, indica a distância do alvo atingido em metros. Valores somados de 100 indicam o último retorno (last return), os demais indicam o primeiro retorno (first return). dimensionless,a  “amplitud”, indica a amplitude do sinal. dimensionless,r  “range”, indica a distância do alvo atingido em metros. Valores somados de 100 indicam o último retorno (last return), os demais indicam o primeiro retorno (first return). dimensionless,a  “amplitud”, indica a amplitude do sinal. dimensionless,r  “range”, indica a distância do alvo atingido em metros. Valores somados de 100 indicam o último retorno (last return), os demais indicam o primeiro retorno (first return). dimensionless,a  “amplitud”, indica a amplitude do sinal. dimensionless,r  “range”, indica a distância do alvo atingido em metros. Valores somados de 100 indicam o último retorno (last return), os demais indicam o primeiro retorno (first return). dimensionless,a  “amplitud”, indica a amplitude do sinal. dimensionless,r  “range”, indica a distância do alvo atingido em metros. Valores somados de 100 indicam o último retorno (last return), os demais indicam o primeiro retorno (first return). dimensionless,a  “amplitud”, indica a amplitude do sinal. dimensionless,r  “range”, indica a distância do alvo atingido em metros. Valores somados de 100 indicam o último retorno (last return), os demais indicam o primeiro retorno (first return). dimensionless,a  “amplitud”, indica a amplitude do sinal. dimensionless"
"Os dados de inclinação do terreno aqui disponibilizados são parte das informações disponíveis para as 72 Parcelas Permanentes distribuídas sistematicamente sobre 64 km2 na Reserva Florestal Adolpho Ducke, Manaus, Amazonas. ***Dados não disponíveis no momento. Por favor acesse o repositório do PELD para baixá-los: http://peld.inpa.gov.br/knb/style/skins/peld/",fecosta,26,5,Inclinação do terreno em 72 Parcelas Permanentes na Reserva Ducke,2001-04-01T04:00:00Z,2001-09-30T04:00:00Z,Albertina Pimentel Lima,"Parcela,piquete,inclinacao","Parcela  Parcela na qual os dados foram coletados.,piquete  Distância do início da parcela na qual os dados foram coletados, em metros. meter,inclinacao  Inclinação do terreno na medida feita no piquete, em graus. degree"
"Os dados de granulometria do solo aqui disponibilizados são parte das informações disponíveis para as 72 Parcelas Permanentes distribuídas sistematicamente sobre 64 km2 na Reserva Florestal Adolpho Ducke, Manaus, Amazonas. ***Dados não disponíveis no momento. Por favor acesse o repositório do PELD para baixá-los: http://peld.inpa.gov.br/knb/style/skins/peld/",fecosta,31,3,Granulometria do Solo de 72 Parcelas Permanentes na Reserva Ducke,2001-03-01T04:00:00Z,2001-06-30T04:00:00Z,Flávio Luizão,"parcela,argila,silte,areia","parcela  Identificador da Parcela na qual os dados foram coletados,argila  Teor de argila em porcentagem. dimensionless,silte  Teor de silte em porcentagem. dimensionless,areia  Teor de areia em porcentagem. dimensionless"
"Os dados da composição de espécies arbóreas na Reserva Ducke foram coletados para descrever os padrões de distribuição das espécies em meso-escala espacial, em função das características físicas e químicas do solo superficial (0-5 cm de profundidade). ***Dados não disponíveis no momento. Por favor acesse o repositório do PELD para baixá-los: http://peld.inpa.gov.br/knb/style/skins/peld/",fecosta,55,4,Composição de espécies arbóreas,2001-02-01T04:00:00Z,2005-03-31T04:00:00Z,Carolina Volkmer de Castilho,NA,NA
"O estudo está sendo realizado para avaliar a produtividade de raízes finas (< 2 mm de diâmetro) em um gradiente de altitude, sazonalidade regional, vegetação e solos na floresta da Reserva Florestal Adolpho Ducke (RFAD), pertencente ao Instituto Nacional de Pesquisas da Amazônia (INPA), em Manaus-AM, localizada a 26 km a noroeste de Manaus (02°55’S/59°59’W). Esta Reserva cobre uma área de 10.000 hectares (10 km x 10 km) de floresta tropical de terra firme. Para este estudo foram selecionadas nove parcelas ao longo da paisagem da RFAD, seguindo um gradiente ambiental que representa a diversidade de ambientes existente na Reserva. As áreas selecionadas variam em altitude (de 46 a 105 m acima do nível do mar), tipo de solo (Podzóis, Argissolos e Latossolos), regime hídrico (saturação sazonais e bem drenados), distância vertical à drenagem mais próxima (de 3 a 40 m) e vegetação (campinarana e floresta de terra firme). A produtividade de raízes finas está sendo quantificada utilizando-se a técnica de “armadilhas de raízes” (ingrowth core). Esta metodologia segue o protocolo pré-estabelecido do projeto RAINFOR / GEM-Network (Global Ecosystem Monitoring Network) o qual vem sendo utilizado em diversas áreas da Amazônia (Colômbia, Peru, Bolívia, Caxiuanã - PA e Tanguro - MT) e também em outras regiões (Gem.tropicalforests.ox.ac.uk).",kamelgaco,6,9,Variação temporal e Espacial na produtividade de raízes finas em nove parcelas da Reserva Florestal Adolfo Ducke na Amazônia Central,2014-01-01T04:00:00Z,2015-01-01T04:00:00Z,Flávia Regina Capellotto Costa,"sitio,trilha,parcela,segmento,armadilha,data_coleta,massa_raizes_finas","sitio  Reserva Florestal Adolpho Ducke,trilha  trilhas principais da grade PPBio,parcela  Nome das parcelas, composto pela trilha onde se encontra e distancia ao longo da trilha,segmento  Segmentos da trilha central de cada parcela onde foram instaladas as armadilhas,armadilha  Numero sequencial das armadilhas de raízes finas instaladas nas parcelas dimensionless,data_coleta  mes e ano das coletas,massa_raizes_finas  massa seca de raizes finas (diâmetro < 2mm) expresso em gramas dimensionless"
"Estes dados foram coletados na Reserva Ducke, localizada a 26 km ao norte da cidade de Manaus (02º 55’-03o 01’ S, 59o53’-59o59’ W), no estado do Amazonas, Brasil, no período entre agosto a setembro de 2014. Foram selecionadas quatros espécies da família Marantaceae: Calathea altissima, Ischnosiphon arouma, Monotagma densiflorum e Monotagma spicatum. Os levantamentos foram realizados em 30 blocos formados por 3 parcelas. Sendo uma parcela permanente do PELD, mais duas parcelas implementadas para este estudo. Cada uma das três parcelas de cada bloco foi alocada em um ambiente topográfico, sendo eles: platô, vertente e baixio. Desta forma são totalizadas 90 parcelas espalhadas na grade (8 km x 8 km), sendo 30 parcelas no platô, 30 parcelas na vertente e 30 parcelas no baixio. As variáveis coletadas foram: nome da espécie, localização (X, Y) do indivíduo na parcela, altura do indivíduo, número de folhas do indivíduo, número de ramos do indivíduo, presença e quantidade de estrutura reprodutiva no indivíduo.",kamelgaco,8,12,"Mapeamento de quatro espécies de Marantaceae nas parcelas da Reserva Ducke, Manaus, Amazonas, Brasil",2013-08-23T04:00:00Z,2014-12-20T04:00:00Z,Flávia Santana,"sitio,trilha,parcela,amb,id,data,placa,cod_especie,gen,x,y,altura,n_folhas,n_caule,reproducao,n_inflor,estg_inflo,n_infru,estg_infru,obs","sitio  a localidade em que os dados foram coletados,trilha  trilha na qual os dados foram coletados,parcela  parcela na qual os dados foram coletados,amb  ambiente definido a partir do gradiente topográfico onde a parcela está localizada,id  número identificador vinculado a outra tablea que detalha informações adicionais sobre a coleta em cada parcela. tabela vinculada ""id_estrut_pop_morpho.txt"",data  data de coleta,placa  placa enumerada para identificar o indivíduo reprodutivo,cod_especie  código referente ao nome científico da espécie,gen  indicação de que houve coleta de amostra foliar para análise genética (1) ou não (0),x  coordenada de localização do indivíduo na parcela no eixo x (0 a 100 metros) meter,y  coordenada de localização do indivíduo na parcela no eixo y (0 a 5 metros) meter,altura  altura total do indivíduo meter,n_folhas  número total de folhas do indivíduo dimensionless,n_caule  número de caule/ramo do indivíduo dimensionless,reproducao  indica presença de estrutura reprodutiva (1) ou não (0),n_inflor  número de inflorescências contadas no indivíduo dimensionless,estg_inflo  estágio da inflorescência quanto a maturidade,n_infru  número de infrutescências contadas no indivíduo dimensionless,estg_infru  estágio quanto a maturidade da infrutescência,obs  informações adicionais relevantes"
